make,model,acceleration,topspeed,battery,erange_real,efficiency,fastcharge_speed,country_uk,img1_url,hrefs
Audi,e-tron GT RS,3.3 sec,250 km/h,85,405 km,210 Wh/km,1000,"£119,000",https://ev-database.org/img/auto/Audi_e-tron_GT_RS/Audi_e-tron_GT_RS-01-thumb@2x.jpg,https://ev-database.org/car/1153/Audi-e-tron-GT-RS
Tesla,Model 3 Performance,3.3 sec,261 km/h,75,460 km,163 Wh/km,710,"£57,990",https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb@2x.jpg,https://ev-database.org/car/1620/Tesla-Model-3-Performance
Fiat,500e Hatchback 42 kWh,9.0 sec,150 km/h,37.3,235 km,159 Wh/km,390,"£31,195",https://ev-database.org/img/auto/Fiat_500e_Hatchback_2020/Fiat_500e_Hatchback_2020-01-thumb@2x.jpg,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh
BYD,HAN ,3.9 sec,180 km/h,85.4,475 km,180 Wh/km,450,N/A,https://ev-database.org/img/auto/BYD_HAN/BYD_HAN-01-thumb@2x.jpg,https://ev-database.org/car/1784/BYD-HAN
Skoda,Enyaq iV 80,8.6 sec,160 km/h,77,435 km,177 Wh/km,670,"£42,925",https://ev-database.org/img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb@2x.jpg,https://ev-database.org/car/1280/Skoda-Enyaq-iV-80
Mercedes,EQS 450+,6.2 sec,210 km/h,107.8,635 km,170 Wh/km,950,"£105,610",https://ev-database.org/img/auto/Mercedes_EQS_2021/Mercedes_EQS_2021-01-thumb@2x.jpg,https://ev-database.org/car/1483/Mercedes-EQS-450plus
Rolls-Royce,Spectre ,4.5 sec,250 km/h,100,455 km,220 Wh/km,540,"* £350,000",https://ev-database.org/img/auto/Rolls-Royce-Spectre/Rolls-Royce-Spectre-01-thumb@2x.jpg,https://ev-database.org/car/1765/Rolls-Royce-Spectre
Mercedes,EQE 350+,6.4 sec,210 km/h,90.6,525 km,173 Wh/km,780,N/A,https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb@2x.jpg,https://ev-database.org/car/1538/Mercedes-EQE-350plus
Dacia,Spring Electric 45,19.1 sec,125 km/h,25,165 km,152 Wh/km,180,N/A,https://ev-database.org/img/auto/Dacia_Spring_Electric_2022/Dacia_Spring_Electric_2022-01-thumb@2x.jpg,https://ev-database.org/car/1705/Dacia-Spring-Electric-45
Tesla,Model S Dual Motor,3.2 sec,250 km/h,95,575 km,165 Wh/km,800,"* £96,000",https://ev-database.org/img/auto/Tesla_Model_S_2021/Tesla_Model_S_2021-01-thumb@2x.jpg,https://ev-database.org/car/1404/Tesla-Model-S-Dual-Motor
Volkswagen,ID.4 Pro Performance,8.5 sec,160 km/h,77,410 km,188 Wh/km,630,"£46,035",https://ev-database.org/img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb@2x.jpg,https://ev-database.org/car/1314/Volkswagen-ID4-Pro-Performance
Volkswagen,ID.4 Pro,10.4 sec,160 km/h,77,410 km,188 Wh/km,630,"£44,605",https://ev-database.org/img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb@2x.jpg,https://ev-database.org/car/1627/Volkswagen-ID4-Pro
Hyundai,Kona Electric 64 kWh,7.9 sec,167 km/h,64,395 km,162 Wh/km,370,N/A,https://ev-database.org/img/auto/Hyundai_Kona_Electric_2021/Hyundai_Kona_Electric_2021-01-thumb@2x.jpg,https://ev-database.org/car/1423/Hyundai-Kona-Electric-64-kWh
Volkswagen,ID. Buzz Pro,10.2 sec,145 km/h,77,340 km,226 Wh/km,470,"£58,915",https://ev-database.org/img/auto/Volkswagen_ID_Buzz/Volkswagen_ID_Buzz-01-thumb@2x.jpg,https://ev-database.org/car/1651/Volkswagen-ID-Buzz-Pro
BMW,iX xDrive50,4.6 sec,200 km/h,105.2,505 km,208 Wh/km,680,"£102,755",https://ev-database.org/img/auto/BMW_iX_2022/BMW_iX_2022-01-thumb@2x.jpg,https://ev-database.org/car/1473/BMW-iX-xDrive50
Mercedes,EQC 400 4MATIC,5.1 sec,180 km/h,80,370 km,216 Wh/km,440,N/A,https://ev-database.org/img/auto/Mercedes_EQC/Mercedes_EQC-01-thumb@2x.jpg,https://ev-database.org/car/1337/Mercedes-EQC-400-4MATIC
BYD,TANG ,4.6 sec,180 km/h,86.4,360 km,240 Wh/km,330,N/A,https://ev-database.org/img/auto/BYD_TANG/BYD_TANG-01-thumb@2x.jpg,https://ev-database.org/car/1783/BYD-TANG
Audi,Q4 e-tron 40,8.5 sec,160 km/h,76.6,405 km,189 Wh/km,630,"£50,630",https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb@2x.jpg,https://ev-database.org/car/1490/Audi-Q4-e-tron-40
Kia,EV6 GT,3.5 sec,260 km/h,74,360 km,206 Wh/km,940,"£62,645",https://ev-database.org/img/auto/Kia_EV6_GT_2021/Kia_EV6_GT_2021-01-thumb@2x.jpg,https://ev-database.org/car/1471/Kia-EV6-GT
BMW,i7 xDrive60,4.7 sec,240 km/h,101.7,510 km,199 Wh/km,760,"£113,970",https://ev-database.org/img/auto/BMW_i7_2022/BMW_i7_2022-01-thumb@2x.jpg,https://ev-database.org/car/1676/BMW-i7-xDrive60
Audi,Q8 e-tron 55 quattro,5.6 sec,200 km/h,106,495 km,214 Wh/km,630,"£77,800",https://ev-database.org/img/auto/Audi_Q8-etron-2023/Audi_Q8-etron-2023-01-thumb@2x.jpg,https://ev-database.org/car/1770/Audi-Q8-e-tron-55-quattro
MG,MG4 Electric 51 kWh,7.7 sec,160 km/h,50.8,300 km,169 Wh/km,340,"£26,995",https://ev-database.org/img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb@2x.jpg,https://ev-database.org/car/1707/MG-MG4-Electric-51-kWh
Hyundai,IONIQ 6 Long Range AWD,5.1 sec,185 km/h,74,440 km,168 Wh/km,1150,"£50,540",https://ev-database.org/img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb@2x.jpg,https://ev-database.org/car/1719/Hyundai-IONIQ-6-Long-Range-AWD
BMW,i4 eDrive35,6.0 sec,190 km/h,67,430 km,156 Wh/km,580,"£49,995",https://ev-database.org/img/auto/BMW_i4_eDrive40/BMW_i4_eDrive40-01-thumb@2x.jpg,https://ev-database.org/car/1785/BMW-i4-eDrive35
Renault,Zoe ZE50 R110,11.4 sec,135 km/h,52,315 km,165 Wh/km,230,N/A,https://ev-database.org/img/auto/Renault_Zoe_2020/Renault_Zoe_2020-01-thumb@2x.jpg,https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110
Smart,#1 ,6.7 sec,180 km/h,62,335 km,185 Wh/km,520,"£35,950",https://ev-database.org/img/auto/Smart_1_2023/Smart_1_2023-01-thumb@2x.jpg,https://ev-database.org/car/1667/Smart-1
MG,ZS EV Long Range,8.4 sec,175 km/h,68.3,370 km,185 Wh/km,420,"£32,995",https://ev-database.org/img/auto/MG_ZS_EV_2022/MG_ZS_EV_2022-01-thumb@2x.jpg,https://ev-database.org/car/1541/MG-ZS-EV-Long-Range
Renault,Megane E-Tech EV60 220hp,7.4 sec,160 km/h,60,380 km,158 Wh/km,530,"£36,995",https://ev-database.org/img/auto/Renault_Megane_ETech/Renault_Megane_ETech-01-thumb@2x.jpg,https://ev-database.org/car/1521/Renault-Megane-E-Tech-EV60-220hp
Audi,e-tron GT quattro,4.1 sec,245 km/h,85,420 km,202 Wh/km,1030,"£87,800",https://ev-database.org/img/auto/Audi_e-tron_GT_quattro/Audi_e-tron_GT_quattro-01-thumb@2x.jpg,https://ev-database.org/car/1420/Audi-e-tron-GT-quattro
Nissan,Leaf ,7.9 sec,144 km/h,39,235 km,166 Wh/km,230,"£28,995",https://ev-database.org/img/auto/Nissan_Leaf_2022/Nissan_Leaf_2022-01-thumb@2x.jpg,https://ev-database.org/car/1656/Nissan-Leaf
Opel,Astra Electric ,8.5 sec,170 km/h,50.8,310 km,164 Wh/km,500,"£39,995",https://ev-database.org/img/auto/Opel_Astra_Electric/Opel_Astra_Electric-01-thumb@2x.jpg,https://ev-database.org/car/1792/Opel-Astra-Electric
Peugeot,e-208 ,8.1 sec,150 km/h,46.3,285 km,162 Wh/km,460,"£31,595",https://ev-database.org/img/auto/Peugeot_e-208_GT/Peugeot_e-208_GT-01-thumb@2x.jpg,https://ev-database.org/car/1583/Peugeot-e-208
Kia,EV6 Long Range 2WD,7.3 sec,185 km/h,74,410 km,180 Wh/km,1070,"£45,245",https://ev-database.org/img/auto/Kia_EV6_2021/Kia_EV6_2021-01-thumb@2x.jpg,https://ev-database.org/car/1481/Kia-EV6-Long-Range-2WD
Toyota,bZ4X FWD,7.5 sec,160 km/h,64,340 km,188 Wh/km,510,"£46,110",https://ev-database.org/img/auto/Toyota_bZ4X/Toyota_bZ4X-01-thumb@2x.jpg,https://ev-database.org/car/1564/Toyota-bZ4X-FWD
Jeep,Avenger Electric ,9.0 sec,150 km/h,50.8,300 km,169 Wh/km,480,"£35,700",https://ev-database.org/img/auto/Jeep_Avenger/Jeep_Avenger-01-thumb@2x.jpg,https://ev-database.org/car/1816/Jeep-Avenger-Electric
Volvo,EX30 Single Motor,5.7 sec,180 km/h,49,280 km,175 Wh/km,430,"£33,795",https://ev-database.org/img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb@2x.jpg,https://ev-database.org/car/1909/Volvo-EX30-Single-Motor
Hyundai,IONIQ 6 Long Range 2WD,7.4 sec,185 km/h,74,495 km,149 Wh/km,1290,"£47,040",https://ev-database.org/img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb@2x.jpg,https://ev-database.org/car/1718/Hyundai-IONIQ-6-Long-Range-2WD
Volkswagen,ID.3 Pro,7.3 sec,160 km/h,58,350 km,166 Wh/km,450,"£37,115",https://ev-database.org/img/auto/Volkswagen_ID3_2023/Volkswagen_ID3_2023-01-thumb@2x.jpg,https://ev-database.org/car/1831/Volkswagen-ID3-Pro
Skoda,Enyaq iV 60,8.7 sec,160 km/h,58,340 km,171 Wh/km,460,"£38,970",https://ev-database.org/img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb@2x.jpg,https://ev-database.org/car/1279/Skoda-Enyaq-iV-60
ORA,Funky Cat 48 kWh,8.3 sec,160 km/h,45.4,260 km,175 Wh/km,240,"£31,995",https://ev-database.org/img/auto/ORA_Funky_Cat_2022/ORA_Funky_Cat_2022-01-thumb@2x.jpg,https://ev-database.org/car/1781/ORA-Funky-Cat-48-kWh
Mercedes,EQS 580 4MATIC,4.3 sec,210 km/h,107.8,590 km,183 Wh/km,880,N/A,https://ev-database.org/img/auto/Mercedes_EQS_2021/Mercedes_EQS_2021-01-thumb@2x.jpg,https://ev-database.org/car/1484/Mercedes-EQS-580-4MATIC
Mini,Cooper SE ,7.3 sec,150 km/h,28.9,180 km,161 Wh/km,260,"£32,550",https://ev-database.org/img/auto/Mini_Electric_2021/Mini_Electric_2021-01-thumb@2x.jpg,https://ev-database.org/car/1409/Mini-Cooper-SE
Volkswagen,ID.4 Pure,10.9 sec,160 km/h,52,285 km,182 Wh/km,360,"£38,845",https://ev-database.org/img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb@2x.jpg,https://ev-database.org/car/1489/Volkswagen-ID4-Pure
MG,MG5 Electric Long Range,7.7 sec,185 km/h,57.4,335 km,171 Wh/km,330,"£30,995",https://ev-database.org/img/auto/MG_MG5_Electric_2021/MG_MG5_Electric_2021-01-thumb@2x.jpg,https://ev-database.org/car/1474/MG-MG5-Electric-Long-Range
Nissan,Ariya 87kWh,7.6 sec,160 km/h,87,450 km,193 Wh/km,540,"£51,895",https://ev-database.org/img/auto/Nissan_Ariya/Nissan_Ariya-01-thumb@2x.jpg,https://ev-database.org/car/1302/Nissan-Ariya-87kWh
Fisker,Ocean One,3.9 sec,205 km/h,105,525 km,200 Wh/km,640,"£60,880",https://ev-database.org/img/auto/Fisker_Ocean/Fisker_Ocean-01-thumb@2x.jpg,https://ev-database.org/car/1712/Fisker-Ocean-One
Hyundai,IONIQ 5 Long Range 2WD,7.3 sec,185 km/h,74,390 km,190 Wh/km,1020,"£46,945",https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb@2x.jpg,https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD
Polestar,2 Long Range Single Motor,6.2 sec,205 km/h,79,445 km,178 Wh/km,660,"£48,950",https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb@2x.jpg,https://ev-database.org/car/1818/Polestar-2-Long-Range-Single-Motor
CUPRA,Born 150 kW - 58 kWh,7.3 sec,160 km/h,58,350 km,166 Wh/km,470,"£36,475",https://ev-database.org/img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb@2x.jpg,https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh
Mercedes,EQB 250,8.9 sec,160 km/h,66.5,385 km,173 Wh/km,550,N/A,https://ev-database.org/img/auto/Mercedes_EQB/Mercedes_EQB-01-thumb@2x.jpg,https://ev-database.org/car/1664/Mercedes-EQB-250
Tesla,Model X Dual Motor,3.9 sec,250 km/h,95,475 km,200 Wh/km,660,"* £100,000",https://ev-database.org/img/auto/Tesla_Model_X_2021/Tesla_Model_X_2021-01-thumb@2x.jpg,https://ev-database.org/car/1407/Tesla-Model-X-Dual-Motor
Mercedes,EQA 250+,8.6 sec,160 km/h,70.5,420 km,168 Wh/km,580,"£52,010",https://ev-database.org/img/auto/Mercedes_EQA/Mercedes_EQA-01-thumb@2x.jpg,https://ev-database.org/car/1698/Mercedes-EQA-250plus
Kia,EV9 99.8 kWh AWD,5.3 sec,200 km/h,99.8,430 km,232 Wh/km,780,"* £65,000",https://ev-database.org/img/auto/Kia_EV9_2023/Kia_EV9_2023-01-thumb@2x.jpg,https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD
Tesla,Model X Plaid,2.6 sec,262 km/h,95,455 km,209 Wh/km,630,"* £125,000",https://ev-database.org/img/auto/Tesla_Model_X_2021/Tesla_Model_X_2021-01-thumb@2x.jpg,https://ev-database.org/car/1408/Tesla-Model-X-Plaid
Genesis,GV60 Premium,7.8 sec,185 km/h,74,390 km,190 Wh/km,1020,"£53,905",https://ev-database.org/img/auto/Genesis_GV60/Genesis_GV60-01-thumb@2x.jpg,https://ev-database.org/car/1647/Genesis-GV60-Premium
Lotus,Eletre ,4.5 sec,250 km/h,107,510 km,210 Wh/km,1070,"£89,500",https://ev-database.org/img/auto/Lotus_Eletre/Lotus_Eletre-01-thumb@2x.jpg,https://ev-database.org/car/1767/Lotus-Eletre
Citroen,e-C4 ,9.7 sec,150 km/h,46.3,290 km,160 Wh/km,460,"£31,995",https://ev-database.org/img/auto/Citroen_e-C4/Citroen_e-C4-01-thumb@2x.jpg,https://ev-database.org/car/1587/Citroen-e-C4
Volkswagen,e-Up! ,11.9 sec,130 km/h,32.3,205 km,158 Wh/km,170,N/A,https://ev-database.org/img/auto/Volkswagen_e-Up-2019/Volkswagen_e-Up-2019-01-thumb@2x.jpg,https://ev-database.org/car/1650/Volkswagen-e-Up
Dacia,Spring Electric 65 Extreme,13.7 sec,125 km/h,25,160 km,156 Wh/km,170,N/A,https://ev-database.org/img/auto/Dacia_Spring_Electric_2022/Dacia_Spring_Electric_2022-01-thumb@2x.jpg,https://ev-database.org/car/1813/Dacia-Spring-Electric-65-Extreme
Volvo,EX30 Twin Motor Performance,3.6 sec,180 km/h,64,360 km,178 Wh/km,540,"£40,995",https://ev-database.org/img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb@2x.jpg,https://ev-database.org/car/1911/Volvo-EX30-Twin-Motor-Performance
Mercedes,EQS SUV 580 4MATIC,4.6 sec,210 km/h,108.4,485 km,224 Wh/km,630,"£139,470",https://ev-database.org/img/auto/Mercedes_EQS_SUV_2022/Mercedes_EQS_SUV_2022-01-thumb@2x.jpg,https://ev-database.org/car/1675/Mercedes-EQS-SUV-580-4MATIC
BMW,i5 eDrive40 Sedan,6.0 sec,193 km/h,81.2,475 km,171 Wh/km,710,"£74,105",https://ev-database.org/img/auto/BMW_i5_eDrive40_Sedan/BMW_i5_eDrive40_Sedan-01-thumb@2x.jpg,https://ev-database.org/car/1906/BMW-i5-eDrive40-Sedan
Mercedes,EQB 350 4MATIC,6.2 sec,160 km/h,66.5,340 km,196 Wh/km,490,"£56,810",https://ev-database.org/img/auto/Mercedes_EQB/Mercedes_EQB-01-thumb@2x.jpg,https://ev-database.org/car/1493/Mercedes-EQB-350-4MATIC
CUPRA,Born 170 kW - 77 kWh,7.0 sec,160 km/h,77,450 km,171 Wh/km,630,"£41,975",https://ev-database.org/img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb@2x.jpg,https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh
Volkswagen,ID.7 Pro S,7.0 sec,180 km/h,86,520 km,165 Wh/km,800,"* £56,000",https://ev-database.org/img/auto/Volkswagen_ID7/Volkswagen_ID7-01-thumb@2x.jpg,https://ev-database.org/car/1840/Volkswagen-ID7-Pro-S
Zeekr,001 Long Range RWD,7.2 sec,200 km/h,94,530 km,177 Wh/km,740,N/A,https://ev-database.org/img/auto/Zeekr_001_2023/Zeekr_001_2023-01-thumb@2x.jpg,https://ev-database.org/car/1933/Zeekr-001-Long-Range-RWD
Kia,EV6 Long Range AWD,5.2 sec,185 km/h,74,400 km,185 Wh/km,1050,"£51,745",https://ev-database.org/img/auto/Kia_EV6_2021/Kia_EV6_2021-01-thumb@2x.jpg,https://ev-database.org/car/1482/Kia-EV6-Long-Range-AWD
Peugeot,e-308 ,9.8 sec,170 km/h,50.8,300 km,169 Wh/km,450,"* £37,000",https://ev-database.org/img/auto/Peugeot_e-308/Peugeot_e-308-01-thumb@2x.jpg,https://ev-database.org/car/1744/Peugeot-e-308
Volkswagen,ID.7 Pro,8.0 sec,180 km/h,77,470 km,164 Wh/km,700,"* £53,000",https://ev-database.org/img/auto/Volkswagen_ID7/Volkswagen_ID7-01-thumb@2x.jpg,https://ev-database.org/car/1839/Volkswagen-ID7-Pro
Fisker,Ocean Ultra,4.2 sec,200 km/h,105,525 km,200 Wh/km,640,"£49,880",https://ev-database.org/img/auto/Fisker_Ocean/Fisker_Ocean-01-thumb@2x.jpg,https://ev-database.org/car/1710/Fisker-Ocean-Ultra
Peugeot,e-2008 SUV ,8.5 sec,150 km/h,46.3,270 km,171 Wh/km,430,N/A,https://ev-database.org/img/auto/Peugeot_e-2008_SUV/Peugeot_e-2008_SUV-01-thumb@2x.jpg,https://ev-database.org/car/1584/Peugeot-e-2008-SUV
Audi,Q8 e-tron Sportback 55 quattro,5.6 sec,200 km/h,106,525 km,202 Wh/km,660,"£80,300",https://ev-database.org/img/auto/Audi_Q8-etron-sportback-2023/Audi_Q8-etron-sportback-2023-01-thumb@2x.jpg,https://ev-database.org/car/1772/Audi-Q8-e-tron-Sportback-55-quattro
BYD,DOLPHIN 60.4 kWh,7.0 sec,160 km/h,60.5,340 km,178 Wh/km,340,"* £31,000",https://ev-database.org/img/auto/BYD_DOLPHIN/BYD_DOLPHIN-01-thumb@2x.jpg,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh
Volvo,XC40 Recharge Single Motor,7.3 sec,180 km/h,66,345 km,191 Wh/km,420,"£46,505",https://ev-database.org/img/auto/Volvo_XC40_Recharge_2023/Volvo_XC40_Recharge_2023-01-thumb@2x.jpg,https://ev-database.org/car/1796/Volvo-XC40-Recharge-Single-Motor
Opel,Mokka-e ,9.2 sec,150 km/h,46.3,260 km,178 Wh/km,420,"£38,835",https://ev-database.org/img/auto/Opel_Mokka-e/Opel_Mokka-e-01-thumb@2x.jpg,https://ev-database.org/car/1586/Opel-Mokka-e
Renault,Zoe ZE50 R135,9.5 sec,140 km/h,52,310 km,168 Wh/km,230,"£29,995",https://ev-database.org/img/auto/Renault_Zoe_2020/Renault_Zoe_2020-01-thumb@2x.jpg,https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135
Mercedes,EQE 300,7.3 sec,210 km/h,89,515 km,173 Wh/km,650,"£74,345",https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb@2x.jpg,https://ev-database.org/car/1713/Mercedes-EQE-300
Lexus,RZ 450e,5.6 sec,160 km/h,64,320 km,200 Wh/km,480,"£64,500",https://ev-database.org/img/auto/Lexus_RZ_450e/Lexus_RZ_450e-01-thumb@2x.jpg,https://ev-database.org/car/1677/Lexus-RZ-450e
Opel,Corsa-e ,8.1 sec,150 km/h,46.3,295 km,157 Wh/km,470,"£33,930",https://ev-database.org/img/auto/Opel_Corsa-e/Opel_Corsa-e-01-thumb@2x.jpg,https://ev-database.org/car/1585/Opel-Corsa-e
Volvo,XC40 Recharge Single Motor ER,7.3 sec,180 km/h,79,405 km,195 Wh/km,600,N/A,https://ev-database.org/img/auto/Volvo_XC40_Recharge_2023/Volvo_XC40_Recharge_2023-01-thumb@2x.jpg,https://ev-database.org/car/1797/Volvo-XC40-Recharge-Single-Motor-ER
Hyundai,IONIQ 5 Standard Range 2WD,8.5 sec,185 km/h,54,295 km,183 Wh/km,720,"£43,445",https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb@2x.jpg,https://ev-database.org/car/1476/Hyundai-IONIQ-5-Standard-Range-2WD
Hyundai,IONIQ 5 Long Range AWD,5.1 sec,185 km/h,74,385 km,192 Wh/km,1010,"£50,445",https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb@2x.jpg,https://ev-database.org/car/1663/Hyundai-IONIQ-5-Long-Range-AWD
Lucid,Air Dream Edition P,2.7 sec,270 km/h,118,685 km,172 Wh/km,870,N/A,https://ev-database.org/img/auto/Lucid_Air/Lucid_Air-01-thumb@2x.jpg,https://ev-database.org/car/1098/Lucid-Air-Dream-Edition-P
Lucid,Air Dream Edition R,2.9 sec,270 km/h,118,685 km,172 Wh/km,870,N/A,https://ev-database.org/img/auto/Lucid_Air/Lucid_Air-01-thumb@2x.jpg,https://ev-database.org/car/1696/Lucid-Air-Dream-Edition-R
Renault,Twingo Electric,12.6 sec,135 km/h,21.3,135 km,158 Wh/km,,N/A,https://ev-database.org/img/auto/Renault_Twingo_ZE_2020/Renault_Twingo_ZE_2020-01-thumb@2x.jpg,https://ev-database.org/car/1270/Renault-Twingo-Electric
BYD,DOLPHIN 44.9 kWh Active,10.0 sec,150 km/h,44.9,255 km,176 Wh/km,260,"* £26,000",https://ev-database.org/img/auto/BYD_DOLPHIN/BYD_DOLPHIN-01-thumb@2x.jpg,https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active
Fisker,Ocean Sport,7.4 sec,160 km/h,75,380 km,197 Wh/km,480,"£35,970",https://ev-database.org/img/auto/Fisker_Ocean/Fisker_Ocean-01-thumb@2x.jpg,https://ev-database.org/car/1709/Fisker-Ocean-Sport
NIO,ET5 100 kWh,4.0 sec,200 km/h,90,500 km,180 Wh/km,520,N/A,https://ev-database.org/img/auto/NIO_ET5/NIO_ET5-01-thumb@2x.jpg,https://ev-database.org/car/1787/NIO-ET5-100-kWh
